Month,Day,Year,AverageTemperature,AverageTemperatureUncertainty,Country
7,1,1975,7.051,0.332,Argentina
6,1,1990,8.023,0.331,Argentina
4,1,1995,15.018,0.331,Argentina
4,1,1995,15.018,0.331,Argentina
3,1,2002,18.479,0.331,Argentina
6,1,2019,7.907,0.331,Argentina
6,1,2028,6.855,0.331,Argentina
6,1,1990,8.023,0.331,Argentina
1,1,1975,21.6,0.329,Argentina
11,1,2011,19.866,0.329,Argentina
1,1,1975,21.6,0.329,Argentina
11,1,2011,19.866,0.329,Argentina
5,1,2010,10.262,0.328,Argentina
9,1,2010,11.928,0.328,Argentina
10,1,2010,15.308,0.328,Argentina
8,1,2011,8.118,0.328,Argentina
2,1,2023,20.991,0.328,Argentina
6,1,1970,7.958,0.325,Argentina
10,1,2008,14.497,0.325,Argentina
6,1,1970,7.958,0.325,Argentina
10,1,2011,14.131,0.324,Argentina
5,1,1973,10.625,0.323,Argentina
5,1,1995,11.512,0.323,Argentina
5,1,1995,11.512,0.323,Argentina
5,1,1973,10.625,0.323,Argentina
8,1,1974,9.669,0.322,Argentina
4,1,2018,14.861,0.322,Argentina
8,1,1974,9.669,0.322,Argentina
10,1,2014,14.551,0.32,Argentina
9,1,2025,12.007,0.32,Argentina
3,1,2024,17.937,0.319,Argentina
10,1,2013,15.282,0.317,Argentina
4,1,2023,14.259,0.317,Argentina
4,1,1979,14.088,0.316,Argentina
8,1,2003,9.516,0.316,Argentina
8,1,2003,9.516,0.316,Argentina
9,1,2014,11.318,0.316,Argentina
4,1,1979,14.088,0.316,Argentina
12,1,1985,21.163,0.315,Argentina
6,1,2002,6.938,0.315,Argentina
6,1,2002,6.938,0.315,Argentina
9,1,2013,12.626,0.315,Argentina
5,1,2027,10.617,0.315,Argentina
12,1,2027,19.456,0.315,Argentina
12,1,1985,21.163,0.315,Argentina
5,1,2026,10.072,0.314,Argentina
12,1,2010,21.194,0.313,Argentina
9,1,2024,11.049,0.313,Argentina
12,1,2010,21.194,0.313,Argentina
8,1,2018,9.521,0.312,Argentina
11,1,2006,18.117,0.311,Argentina
6,1,2029,7.316,0.311,Argentina
2,1,1993,20.556,0.309,Argentina
2,1,1993,20.556,0.309,Argentina
8,1,2014,9.258,0.307,Argentina
4,1,2027,14.742,0.307,Argentina
2,1,1974,19.143,0.306,Argentina
9,1,1977,13.837,0.306,Argentina
7,1,1981,8.339,0.306,Argentina
11,1,2009,18.957,0.306,Argentina
2,1,1974,19.143,0.306,Argentina
9,1,1977,13.837,0.306,Argentina
7,1,1981,8.339,0.306,Argentina
11,1,2009,18.957,0.306,Argentina
1,1,2004,22.887,0.305,Argentina
4,1,2009,16.658,0.305,Argentina
1,1,2004,22.887,0.305,Argentina
4,1,2009,16.658,0.305,Argentina
3,1,2013,17.366,0.304,Argentina
3,1,2013,17.366,0.304,Argentina
7,1,2013,8.344,0.303,Argentina
7,1,2013,8.344,0.303,Argentina
8,1,2013,9.148,0.302,Argentina
8,1,2013,9.148,0.302,Argentina
2,1,2007,20.852,0.301,Argentina
2,1,2007,20.852,0.301,Argentina
7,1,1996,7.544,0.298,Argentina
6,1,2004,9.473,0.298,Argentina
7,1,2005,8.453,0.298,Argentina
10,1,2012,16.311,0.298,Argentina
8,1,2000,9.246,0.298,Argentina
7,1,1996,7.544,0.298,Argentina
6,1,2004,9.473,0.298,Argentina
7,1,2005,8.453,0.298,Argentina
10,1,2012,16.311,0.298,Argentina
6,1,1985,9.526,0.297,Argentina
6,1,1985,9.526,0.297,Argentina
5,1,2004,9.219,0.295,Argentina
5,1,2004,9.219,0.295,Argentina
11,1,1974,18.08,0.294,Argentina
9,1,1976,12.164,0.294,Argentina
12,1,2016,19.632,0.294,Argentina
11,1,1974,18.08,0.294,Argentina
9,1,1976,12.164,0.294,Argentina
6,1,1999,7.904,0.293,Argentina
6,1,1999,7.904,0.293,Argentina
10,1,2026,15.198,0.292,Argentina
9,1,1990,11.703,0.291,Argentina
9,1,2027,11.488,0.291,Argentina
9,1,1990,11.703,0.291,Argentina
9,1,1987,11.757,0.29,Argentina
8,1,1998,10.208,0.29,Argentina
8,1,1998,10.208,0.29,Argentina
9,1,1987,11.757,0.29,Argentina
12,1,1974,19.413,0.289,Argentina
2,1,1999,21.527,0.289,Argentina
10,1,2004,15.943,0.289,Argentina
2,1,1999,21.527,0.289,Argentina
10,1,2004,15.943,0.289,Argentina
8,1,2001,9.261,0.289,Argentina
4,1,2005,13.818,0.289,Argentina
11,1,2007,17.887,0.289,Argentina
8,1,2010,9.679,0.289,Argentina
12,1,1974,19.413,0.289,Argentina
11,1,1996,19.287,0.288,Argentina
7,1,2011,7.657,0.288,Argentina
11,1,1996,19.287,0.288,Argentina
10,1,2019,14.7,0.288,Argentina
7,1,2011,7.657,0.288,Argentina
8,1,1979,11.631,0.287,Argentina
8,1,1979,11.631,0.287,Argentina
8,1,1978,8.715,0.286,Argentina
5,1,1999,11.121,0.286,Argentina
4,1,2006,15.287,0.286,Argentina
6,1,2011,8.301,0.286,Argentina
5,1,1999,11.121,0.286,Argentina
4,1,2006,15.287,0.286,Argentina
9,1,2018,11.036,0.286,Argentina
8,1,1978,8.715,0.286,Argentina
6,1,2011,8.301,0.286,Argentina
10,1,1984,16.397,0.285,Argentina
10,1,1984,16.397,0.285,Argentina
3,1,1997,19.032,0.283,Argentina
12,1,2012,20.961,0.283,Argentina
3,1,1997,19.032,0.283,Argentina
12,1,2012,20.961,0.283,Argentina
12,1,1975,21.06,0.28,Argentina
3,1,1979,18.045,0.28,Argentina
5,1,1989,11.115,0.28,Argentina
11,1,2008,20.47,0.28,Argentina
12,1,1975,21.06,0.28,Argentina
3,1,1979,18.045,0.28,Argentina
5,1,1989,11.115,0.28,Argentina
11,1,2008,20.47,0.28,Argentina
11,1,2016,18.71,0.279,Argentina
11,1,1994,18.764,0.278,Argentina
6,1,1995,8.453,0.278,Argentina
11,1,1994,18.764,0.278,Argentina
6,1,1995,8.453,0.278,Argentina
10,1,1988,14.905,0.277,Argentina
5,1,2025,9.839,0.277,Argentina
5,1,2029,10.025,0.277,Argentina
10,1,1988,14.905,0.277,Argentina
5,1,1994,12.866,0.276,Argentina
12,1,2009,20.274,0.276,Argentina
5,1,1994,12.866,0.276,Argentina
12,1,2009,20.274,0.276,Argentina
7,1,2008,9.97,0.275,Argentina
9,1,2008,12.367,0.275,Argentina
5,1,2011,10.656,0.275,Argentina
7,1,2008,9.97,0.275,Argentina
9,1,2008,12.367,0.275,Argentina
11,1,1985,19.478,0.274,Argentina
2,1,2013,21.145,0.274,Argentina
7,1,2015,8.612,0.274,Argentina
11,1,1985,19.478,0.274,Argentina
2,1,2013,21.145,0.274,Argentina
8,1,2015,10.376,0.273,Argentina
8,1,1989,10.656,0.272,Argentina
7,1,1997,9.953,0.272,Argentina
10,1,2003,16.96,0.272,Argentina
7,1,1997,9.953,0.272,Argentina
10,1,2003,16.96,0.272,Argentina
8,1,1989,10.656,0.272,Argentina
9,1,2006,12.93,0.271,Argentina
9,1,2006,12.93,0.271,Argentina
11,1,2003,19.174,0.27,Argentina
11,1,2003,19.174,0.27,Argentina
2,1,1975,20.634,0.269,Argentina
7,1,1978,10.009,0.269,Argentina
11,1,1990,19.229,0.269,Argentina
2,1,1975,20.634,0.269,Argentina
7,1,1978,10.009,0.269,Argentina
11,1,1990,19.229,0.269,Argentina
5,1,2005,11.169,0.268,Argentina
5,1,2005,11.169,0.268,Argentina
8,1,1980,10.402,0.267,Argentina
8,1,1980,10.402,0.267,Argentina
5,1,1987,9.264,0.266,Argentina
3,1,2000,17.929,0.266,Argentina
8,1,2012,10.842,0.266,Argentina
3,1,2000,17.929,0.266,Argentina
6,1,2010,8.311,0.266,Argentina
5,1,1987,9.264,0.266,Argentina
8,1,2012,10.842,0.266,Argentina
10,1,1975,15.389,0.264,Argentina
6,1,1983,6.319,0.264,Argentina
12,1,1984,18.845,0.264,Argentina
7,1,2001,7.958,0.264,Argentina
7,1,2001,7.958,0.264,Argentina
8,1,2021,8.984,0.264,Argentina
10,1,1975,15.389,0.264,Argentina
6,1,1983,6.319,0.264,Argentina
12,1,1984,18.845,0.264,Argentina
11,1,1982,17.852,0.263,Argentina
11,1,1982,17.852,0.263,Argentina
3,1,1973,19.098,0.262,Argentina
11,1,2010,18.497,0.262,Argentina
3,1,1973,19.098,0.262,Argentina
11,1,2010,18.497,0.262,Argentina
12,1,1987,19.764,0.261,Argentina
5,1,2002,11.97,0.261,Argentina
5,1,2002,11.97,0.261,Argentina
5,1,2018,9.711,0.261,Argentina
12,1,2026,20.21,0.261,Argentina
10,1,2027,15.064,0.261,Argentina
12,1,1987,19.764,0.261,Argentina
7,1,1980,7.532,0.26,Argentina
7,1,2010,6.959,0.26,Argentina
7,1,1980,7.532,0.26,Argentina
7,1,2010,6.959,0.26,Argentina
7,1,1972,7.623,0.259,Argentina
2,1,1979,20.966,0.259,Argentina
1,1,1988,21.292,0.259,Argentina
12,1,2025,20.397,0.259,Argentina
7,1,1972,7.623,0.259,Argentina
2,1,1979,20.966,0.259,Argentina
1,1,1988,21.292,0.259,Argentina
6,1,1994,10.04,0.258,Argentina
6,1,1994,10.04,0.258,Argentina
8,1,2005,9.282,0.258,Argentina
9,1,1974,11.157,0.257,Argentina
6,1,2006,9.595,0.257,Argentina
6,1,2006,9.595,0.257,Argentina
7,1,2022,9.27,0.257,Argentina
9,1,1974,11.157,0.257,Argentina
10,1,1973,15.398,0.256,Argentina
9,1,1986,12.551,0.256,Argentina
1,1,2001,21.77,0.256,Argentina
1,1,2001,21.77,0.256,Argentina
8,1,2028,8.972,0.256,Argentina
10,1,1973,15.398,0.256,Argentina
9,1,1986,12.551,0.256,Argentina
6,1,1987,9.097,0.255,Argentina
5,1,2012,10.041,0.255,Argentina
9,1,2022,12.511,0.255,Argentina
6,1,1987,9.097,0.255,Argentina
4,1,2003,14.431,0.254,Argentina
4,1,2003,14.431,0.254,Argentina
8,1,1973,9.217,0.253,Argentina
9,1,1975,12.55,0.253,Argentina
4,1,1986,15.206,0.253,Argentina
8,1,1993,10.587,0.253,Argentina
4,1,2013,15.838,0.253,Argentina
8,1,1993,10.587,0.253,Argentina
8,1,1973,9.217,0.253,Argentina
9,1,1975,12.55,0.253,Argentina
4,1,1986,15.206,0.253,Argentina
4,1,2013,15.838,0.253,Argentina
4,1,1970,16.784,0.252,Argentina
1,1,1987,22.212,0.252,Argentina
6,1,1997,8.962,0.252,Argentina
6,1,1997,8.962,0.252,Argentina
7,1,2007,7.472,0.252,Argentina
4,1,1970,16.784,0.252,Argentina
1,1,1987,22.212,0.252,Argentina
6,1,1972,9.098,0.251,Argentina
11,1,1983,18.984,0.251,Argentina
3,1,1992,19.646,0.251,Argentina
3,1,1992,19.646,0.251,Argentina
6,1,1972,9.098,0.251,Argentina
11,1,1983,18.984,0.251,Argentina
4,1,1978,14.946,0.25,Argentina
3,1,2029,18.088,0.25,Argentina
4,1,1978,14.946,0.25,Argentina
1,1,1974,21.179,0.249,Argentina
2,1,1992,20.43,0.249,Argentina
2,1,1992,20.43,0.249,Argentina
1,1,1974,21.179,0.249,Argentina
4,1,1988,14.051,0.248,Argentina
8,1,1994,10.329,0.248,Argentina
8,1,1994,10.329,0.248,Argentina
10,1,2007,14.224,0.248,Argentina
4,1,1988,14.051,0.248,Argentina
7,1,1973,6.345,0.247,Argentina
2,1,1981,21.143,0.247,Argentina
4,1,1985,14.366,0.247,Argentina
7,1,1973,6.345,0.247,Argentina
2,1,1981,21.143,0.247,Argentina
4,1,1985,14.366,0.247,Argentina
12,1,1982,21.208,0.246,Argentina
8,1,1985,10.026,0.246,Argentina
6,1,1986,9.466,0.246,Argentina
1,1,1992,21.654,0.246,Argentina
1,1,2009,22.017,0.246,Argentina
12,1,1982,21.208,0.246,Argentina
8,1,1985,10.026,0.246,Argentina
6,1,1986,9.466,0.246,Argentina
1,1,1992,21.654,0.246,Argentina
1,1,2009,22.017,0.246,Argentina
12,1,1973,19.917,0.245,Argentina
8,1,1990,11.754,0.245,Argentina
11,1,2025,18.414,0.245,Argentina
12,1,1973,19.917,0.245,Argentina
8,1,1990,11.754,0.245,Argentina
6,1,1975,10.042,0.244,Argentina
7,1,1989,7.918,0.244,Argentina
8,1,2010,8.996,0.244,Argentina
10,1,2029,14.348,0.244,Argentina
6,1,1975,10.042,0.244,Argentina
7,1,1989,7.918,0.244,Argentina
8,1,2010,8.996,0.244,Argentina
6,1,1981,7.864,0.243,Argentina
10,1,1990,16.636,0.243,Argentina
4,1,1997,16.061,0.243,Argentina
4,1,1997,16.061,0.243,Argentina
2,1,2026,21.428,0.243,Argentina
6,1,1981,7.864,0.243,Argentina
10,1,1990,16.636,0.243,Argentina
1,1,1994,21.827,0.242,Argentina
8,1,2008,9.864,0.242,Argentina
12,1,2011,21.548,0.242,Argentina
1,1,1994,21.827,0.242,Argentina
8,1,2008,9.864,0.242,Argentina
12,1,2011,21.548,0.242,Argentina
7,1,1993,7.106,0.241,Argentina
6,1,2008,7.417,0.241,Argentina
5,1,2012,12.433,0.241,Argentina
9,1,2012,13.931,0.241,Argentina
7,1,1993,7.106,0.241,Argentina
6,1,2008,7.417,0.241,Argentina
5,1,2012,12.433,0.241,Argentina
9,1,2012,13.931,0.241,Argentina
5,1,1979,11.182,0.24,Argentina
3,1,1990,18.194,0.24,Argentina
11,1,2000,17.337,0.24,Argentina
11,1,2000,17.337,0.24,Argentina
5,1,1979,11.182,0.24,Argentina
3,1,1990,18.194,0.24,Argentina
7,1,2004,8.38,0.239,Argentina
2,1,2006,21.212,0.239,Argentina
5,1,2011,11.535,0.239,Argentina
7,1,2004,8.38,0.239,Argentina
2,1,2006,21.212,0.239,Argentina
5,1,2011,11.535,0.239,Argentina
3,1,1976,16.47,0.238,Argentina
6,1,1976,7.556,0.238,Argentina
3,1,1982,18.677,0.238,Argentina
9,1,1985,12.665,0.238,Argentina
2,1,1998,19.509,0.238,Argentina
7,1,2000,6.306,0.238,Argentina
9,1,2009,11.631,0.238,Argentina
2,1,1998,19.509,0.238,Argentina
7,1,2000,6.306,0.238,Argentina
11,1,2027,18.199,0.238,Argentina
3,1,1976,16.47,0.238,Argentina
6,1,1976,7.556,0.238,Argentina
3,1,1982,18.677,0.238,Argentina
9,1,1985,12.665,0.238,Argentina
9,1,2009,11.631,0.238,Argentina
11,1,1995,19.37,0.237,Argentina
5,1,2003,11.908,0.237,Argentina
11,1,1995,19.37,0.237,Argentina
5,1,2003,11.908,0.237,Argentina
10,1,1971,15.542,0.236,Argentina
1,1,1997,22.436,0.236,Argentina
7,1,2012,6.98,0.236,Argentina
1,1,1997,22.436,0.236,Argentina
10,1,1971,15.542,0.236,Argentina
7,1,2012,6.98,0.236,Argentina
5,1,2008,10.451,0.235,Argentina
12,1,1996,20.509,0.234,Argentina
5,1,2000,10.858,0.234,Argentina
