Year,Miss Tmax,Miss Tmin,Miss Prcp,Avg Temp,Avg Tmax,Avg Tmin,ToT Prcp,Max Tmax,Min Tmax,Max Tmin,Min Tmin,Warm Days,Warm Nights,Cold Days,Cold Nights,Max 1-day P,Max 5-day P,Wet Days
1996,0,0,0,66.97,77.52,56.43,59.32,95,32,78,15,0,1.92,10.96,16.16,4.44,7.99,33.44
1997,0,0,0,66.74,76.66,56.82,68.27,95,33,77,21,0,3.56,14.79,14.25,4.01,5.52,42.6
1998,0,0,0,69.26,79.32,59.2,56.49,100,39,79,28,7.12,9.04,11.51,11.78,4.41,6.13,36.16
1999,0,0,0,68.53,79.67,57.38,49.06,100,40,79,20,5.48,5.75,9.04,14.25,2.49,4.38,30.22
2000,0,0,0,68.03,79.39,56.66,38.1,105,39,78,20,8.22,5.75,13.7,16.44,3.43,5.37,17.55
2001,0,0,0,67.34,78.06,56.61,62.32,94,38,77,21,0,1.37,10.14,13.97,9.35,18.47,38.73
2002,0,0,0,67.75,78.01,57.48,59.98,96,39,77,18,0.27,0.82,12.88,18.36,4.28,4.72,36.44
2003,0,0,0,67.45,78.02,56.88,43.22,96,40,78,20,0.55,2.47,14.52,15.89,3.66,4.18,22.8
2004,0,0,0,68.32,78.56,58.07,70.69,99,35,79,24,1.37,4.11,13.42,14.25,4.32,7.89,44.69
2005,0,0,0,68.82,79.75,57.89,47.53,98,45,80,27,6.3,6.03,12.88,12.05,5.09,9.32,25.96
2006,0,0,0,69.5,80.7,58.3,49.62,99,45,78,22,4.93,3.01,7.67,13.42,4.27,4.38,27.73
2007,0,0,0,69.41,79.8,59.02,52.77,104,42,81,26,4.93,6.03,11.51,12.6,4.75,5.32,21.4
2008,0,0,0,68.98,79.75,58.22,58.12,98,42,82,24,2.19,7.4,9.59,14.25,3.9,7.28,34.48
2009,0,0,0,69.08,79.33,58.82,64.33,102,47,81,27,5.75,7.12,11.23,12.88,3.53,5.58,36.79
2010,0,0,0,67.35,78.07,56.64,55.27,100,32,82,18,4.66,12.88,16.71,20.82,4.41,7.26,31.91
2011,0,0,0,68.64,80.03,57.26,49.32,103,32,80,21,13.7,11.23,11.78,15.89,6.34,8.81,28.79
2012,0,0,0,69.97,80.55,59.38,63.81,101,47,80,27,3.84,8.22,6.3,10.14,4.52,6.48,43.09
2013,0,0,0,67.52,77.76,57.27,68.86,96,37,77,26,0.82,4.11,13.15,16.44,4.67,8.63,42.26
2014,0,0,0,66.97,77.89,56.04,61.7,96,32,78,17,0.55,2.47,14.52,19.45,3.84,6.17,41.67
2015,0,0,0,69.98,80.26,59.7,77.59,103,38,80,20,8.22,7.67,10.14,13.97,8.6,10.85,49.55
2016,0,1,0,70.25,80.71,59.78,90.54,98,47,82,27,4.11,7.95,8.77,10.68,11.24,20.16,59.26
2017,0,0,0,70.13,80.27,60,67.74,97,37,78,21,1.37,3.56,7.4,8.49,4.9,6.65,43.02
2018,0,0,0,69.35,79.32,59.38,65.39,98.1,35.1,80.1,14.2,3.29,7.12,12.6,11.78,4.49,4.87,36.96
2019,2,0,0,69.78,80.14,59.42,64.09,99,44.1,80.1,24.3,6.3,8.22,9.59,11.78,4.82,6.61,42.87
2020,0,0,0,70.17,80.22,60.13,67.91,97,48.9,81,29.1,3.56,9.59,8.22,9.32,6.33,9.07,42.04
2021,0,0,0,68.63,78.53,58.73,79.87,95,28.2,78.1,20.1,0,1.92,9.59,12.6,4.33,7.18,50.23
