Year,Date,Day,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty
1757,3,1,4.529,3.638,NULL,NULL,NULL,NULL,NULL,NULL
1757,4,1,8.246,4.304,NULL,NULL,NULL,NULL,NULL,NULL
1757,5,1,13.039,4.98,NULL,NULL,NULL,NULL,NULL,NULL
1757,6,1,17.115,4.59,NULL,NULL,NULL,NULL,NULL,NULL
1757,7,1,17.61,4.322,NULL,NULL,NULL,NULL,NULL,NULL
1757,8,1,17.91,4.035,NULL,NULL,NULL,NULL,NULL,NULL
1757,9,1,14.852,3.189,NULL,NULL,NULL,NULL,NULL,NULL
1757,10,1,6.482,3.173,NULL,NULL,NULL,NULL,NULL,NULL
1757,11,1,4.032,2.643,NULL,NULL,NULL,NULL,NULL,NULL
1757,12,1,1.021,5.155,NULL,NULL,NULL,NULL,NULL,NULL
1758,1,1,-1.503,7.349,NULL,NULL,NULL,NULL,NULL,NULL
1758,2,1,0.806,3.753,NULL,NULL,NULL,NULL,NULL,NULL
1758,3,1,3.765,3.368,NULL,NULL,NULL,NULL,NULL,NULL
1758,4,1,7.21,2.986,NULL,NULL,NULL,NULL,NULL,NULL
1758,5,1,9.715,3.091,NULL,NULL,NULL,NULL,NULL,NULL
1758,6,1,13.139,2.055,NULL,NULL,NULL,NULL,NULL,NULL
1758,7,1,13.847,3.608,NULL,NULL,NULL,NULL,NULL,NULL
1758,8,1,11.818,2.979,NULL,NULL,NULL,NULL,NULL,NULL
1758,9,1,10.028,2.347,NULL,NULL,NULL,NULL,NULL,NULL
1758,10,1,1.894,2.332,NULL,NULL,NULL,NULL,NULL,NULL
1758,11,1,6.955,3.243,NULL,NULL,NULL,NULL,NULL,NULL
1758,12,1,3.249,3.244,NULL,NULL,NULL,NULL,NULL,NULL
1759,1,1,5.014,3.673,NULL,NULL,NULL,NULL,NULL,NULL
1759,2,1,4.082,5.966,NULL,NULL,NULL,NULL,NULL,NULL
1759,3,1,4.52,3.958,NULL,NULL,NULL,NULL,NULL,NULL
1759,4,1,5.983,3.159,NULL,NULL,NULL,NULL,NULL,NULL
1759,5,1,10.189,2.503,NULL,NULL,NULL,NULL,NULL,NULL
1759,6,1,13.512,2.232,NULL,NULL,NULL,NULL,NULL,NULL
1759,7,1,12.526,2.65,NULL,NULL,NULL,NULL,NULL,NULL
1759,8,1,14.587,5.626,NULL,NULL,NULL,NULL,NULL,NULL
1759,9,1,12.626,3.235,NULL,NULL,NULL,NULL,NULL,NULL
1759,10,1,8.267,2.983,NULL,NULL,NULL,NULL,NULL,NULL
1759,11,1,4.268,3.167,NULL,NULL,NULL,NULL,NULL,NULL
1759,12,1,0.247,4.995,NULL,NULL,NULL,NULL,NULL,NULL
1760,1,1,-0.811,4.567,NULL,NULL,NULL,NULL,NULL,NULL
1760,2,1,2.436,3.535,NULL,NULL,NULL,NULL,NULL,NULL
1760,3,1,1.864,4.666,NULL,NULL,NULL,NULL,NULL,NULL
1760,4,1,7.436,2.669,NULL,NULL,NULL,NULL,NULL,NULL
1760,5,1,10.661,1.857,NULL,NULL,NULL,NULL,NULL,NULL
1760,6,1,11.945,2.14,NULL,NULL,NULL,NULL,NULL,NULL
1760,7,1,12.887,2.567,NULL,NULL,NULL,NULL,NULL,NULL
1760,8,1,13.917,2.789,NULL,NULL,NULL,NULL,NULL,NULL
1760,9,1,11.197,3.865,NULL,NULL,NULL,NULL,NULL,NULL
1760,10,1,6.701,3.422,NULL,NULL,NULL,NULL,NULL,NULL
1760,11,1,5.436,2.348,NULL,NULL,NULL,NULL,NULL,NULL
1760,12,1,2.553,2.642,NULL,NULL,NULL,NULL,NULL,NULL
1761,1,1,0.6,4.779,NULL,NULL,NULL,NULL,NULL,NULL
1761,2,1,2.735,3.775,NULL,NULL,NULL,NULL,NULL,NULL
1761,3,1,5.976,3.225,NULL,NULL,NULL,NULL,NULL,NULL
1761,4,1,7.321,1.652,NULL,NULL,NULL,NULL,NULL,NULL
1761,5,1,13.451,1.709,NULL,NULL,NULL,NULL,NULL,NULL
1761,6,1,16.821,3.166,NULL,NULL,NULL,NULL,NULL,NULL
1761,7,1,19.021,2.696,NULL,NULL,NULL,NULL,NULL,NULL
1761,8,1,15.331,2.013,NULL,NULL,NULL,NULL,NULL,NULL
1761,9,1,12.535,4.075,NULL,NULL,NULL,NULL,NULL,NULL
1761,10,1,7.227,3.932,NULL,NULL,NULL,NULL,NULL,NULL
1761,11,1,5.089,2.248,NULL,NULL,NULL,NULL,NULL,NULL
1761,12,1,-0.837,4.468,NULL,NULL,NULL,NULL,NULL,NULL
1762,1,1,6.866,3.776,NULL,NULL,NULL,NULL,NULL,NULL
1762,2,1,4.801,7.88,NULL,NULL,NULL,NULL,NULL,NULL
1762,3,1,3.528,4.139,NULL,NULL,NULL,NULL,NULL,NULL
1762,4,1,9.019,2.199,NULL,NULL,NULL,NULL,NULL,NULL
1762,5,1,10.881,3.044,NULL,NULL,NULL,NULL,NULL,NULL
1762,6,1,13.499,3.311,NULL,NULL,NULL,NULL,NULL,NULL
1762,7,1,14.72,1.966,NULL,NULL,NULL,NULL,NULL,NULL
1762,8,1,13.992,3.329,NULL,NULL,NULL,NULL,NULL,NULL
1762,9,1,10.326,3.226,NULL,NULL,NULL,NULL,NULL,NULL
1762,10,1,6.156,2.879,NULL,NULL,NULL,NULL,NULL,NULL
1762,11,1,6.367,3.354,NULL,NULL,NULL,NULL,NULL,NULL
1762,12,1,3.123,3.188,NULL,NULL,NULL,NULL,NULL,NULL
1763,1,1,1.369,6.415,NULL,NULL,NULL,NULL,NULL,NULL
1763,2,1,0.771,4.102,NULL,NULL,NULL,NULL,NULL,NULL
1763,3,1,1.576,4.635,NULL,NULL,NULL,NULL,NULL,NULL
1763,4,1,7.871,2.275,NULL,NULL,NULL,NULL,NULL,NULL
1763,5,1,10.701,2.736,NULL,NULL,NULL,NULL,NULL,NULL
1763,6,1,12.271,2.224,NULL,NULL,NULL,NULL,NULL,NULL
1763,7,1,16.391,1.754,NULL,NULL,NULL,NULL,NULL,NULL
1763,8,1,14.126,2.157,NULL,NULL,NULL,NULL,NULL,NULL
1763,9,1,11.378,2.827,NULL,NULL,NULL,NULL,NULL,NULL
1763,10,1,5.535,2.961,NULL,NULL,NULL,NULL,NULL,NULL
1763,11,1,4.588,2.08,NULL,NULL,NULL,NULL,NULL,NULL
1763,12,1,3.384,3.653,NULL,NULL,NULL,NULL,NULL,NULL
1764,1,1,1.741,3.628,NULL,NULL,NULL,NULL,NULL,NULL
1764,2,1,6.162,2.868,NULL,NULL,NULL,NULL,NULL,NULL
1764,3,1,5.521,2.488,NULL,NULL,NULL,NULL,NULL,NULL
1764,4,1,7.88,3.159,NULL,NULL,NULL,NULL,NULL,NULL
1764,5,1,11.175,4.55,NULL,NULL,NULL,NULL,NULL,NULL
1764,6,1,11.723,1.707,NULL,NULL,NULL,NULL,NULL,NULL
1764,7,1,12.507,3.256,NULL,NULL,NULL,NULL,NULL,NULL
1764,8,1,12.282,1.259,NULL,NULL,NULL,NULL,NULL,NULL
1764,9,1,10.696,2.236,NULL,NULL,NULL,NULL,NULL,NULL
1764,10,1,10.011,2.515,NULL,NULL,NULL,NULL,NULL,NULL
1764,11,1,5.791,2.828,NULL,NULL,NULL,NULL,NULL,NULL
1764,12,1,5.315,2.809,NULL,NULL,NULL,NULL,NULL,NULL
1765,1,1,3.78,4.928,NULL,NULL,NULL,NULL,NULL,NULL
1765,2,1,3.832,3.156,NULL,NULL,NULL,NULL,NULL,NULL
1765,3,1,6.859,2.442,NULL,NULL,NULL,NULL,NULL,NULL
1765,4,1,9.013,1.448,NULL,NULL,NULL,NULL,NULL,NULL
1765,5,1,10.734,1.928,NULL,NULL,NULL,NULL,NULL,NULL
1765,6,1,10.833,1.453,NULL,NULL,NULL,NULL,NULL,NULL
1765,7,1,13.953,2.375,NULL,NULL,NULL,NULL,NULL,NULL
1765,8,1,13.12,1.872,NULL,NULL,NULL,NULL,NULL,NULL
1765,9,1,10.993,1.705,NULL,NULL,NULL,NULL,NULL,NULL
1765,10,1,7.904,1.533,NULL,NULL,NULL,NULL,NULL,NULL
1765,11,1,5.603,3.737,NULL,NULL,NULL,NULL,NULL,NULL
1765,12,1,2.399,2.556,NULL,NULL,NULL,NULL,NULL,NULL
1766,1,1,-0.793,4.766,NULL,NULL,NULL,NULL,NULL,NULL
1766,2,1,4.896,3.741,NULL,NULL,NULL,NULL,NULL,NULL
1766,3,1,6.062,2.802,NULL,NULL,NULL,NULL,NULL,NULL
1766,4,1,8.007,2.084,NULL,NULL,NULL,NULL,NULL,NULL
1766,5,1,11.228,1.555,NULL,NULL,NULL,NULL,NULL,NULL
1766,6,1,13.653,3.745,NULL,NULL,NULL,NULL,NULL,NULL
1766,7,1,13.555,2.341,NULL,NULL,NULL,NULL,NULL,NULL
1766,8,1,13.758,2.598,NULL,NULL,NULL,NULL,NULL,NULL
1766,9,1,12.25,2.855,NULL,NULL,NULL,NULL,NULL,NULL
1766,10,1,8.465,1.491,NULL,NULL,NULL,NULL,NULL,NULL
1766,11,1,7.454,3.774,NULL,NULL,NULL,NULL,NULL,NULL
1766,12,1,2.333,2.278,NULL,NULL,NULL,NULL,NULL,NULL
1767,1,1,-0.643,5.656,NULL,NULL,NULL,NULL,NULL,NULL
1767,2,1,3.932,4.973,NULL,NULL,NULL,NULL,NULL,NULL
1767,3,1,7.022,4.418,NULL,NULL,NULL,NULL,NULL,NULL
1767,4,1,6.278,3.557,NULL,NULL,NULL,NULL,NULL,NULL
1767,5,1,10.193,1.501,NULL,NULL,NULL,NULL,NULL,NULL
1767,6,1,14.112,1.426,NULL,NULL,NULL,NULL,NULL,NULL
1767,7,1,13.361,2.559,NULL,NULL,NULL,NULL,NULL,NULL
1767,8,1,14.597,1.466,NULL,NULL,NULL,NULL,NULL,NULL
1767,9,1,11.675,2.313,NULL,NULL,NULL,NULL,NULL,NULL
1767,10,1,9.027,1.611,NULL,NULL,NULL,NULL,NULL,NULL
1767,11,1,7.915,3.775,NULL,NULL,NULL,NULL,NULL,NULL
1767,12,1,1.189,2.297,NULL,NULL,NULL,NULL,NULL,NULL
1768,1,1,-2.08,3.027,NULL,NULL,NULL,NULL,NULL,NULL
1768,2,1,0.506,3.04,NULL,NULL,NULL,NULL,NULL,NULL
1768,3,1,2.446,2.157,NULL,NULL,NULL,NULL,NULL,NULL
1768,4,1,6.92,1.84,NULL,NULL,NULL,NULL,NULL,NULL
1768,5,1,9.066,2.433,NULL,NULL,NULL,NULL,NULL,NULL
1768,6,1,12.49,1.729,NULL,NULL,NULL,NULL,NULL,NULL
1768,7,1,13.875,2.552,NULL,NULL,NULL,NULL,NULL,NULL
1768,8,1,12.352,2.046,NULL,NULL,NULL,NULL,NULL,NULL
1768,9,1,10.824,1.504,NULL,NULL,NULL,NULL,NULL,NULL
1768,10,1,7.729,2.558,NULL,NULL,NULL,NULL,NULL,NULL
1768,11,1,4.581,2.02,NULL,NULL,NULL,NULL,NULL,NULL
1768,12,1,2.667,2.286,NULL,NULL,NULL,NULL,NULL,NULL
1769,1,1,2.305,3.76,NULL,NULL,NULL,NULL,NULL,NULL
1769,2,1,2.164,2.527,NULL,NULL,NULL,NULL,NULL,NULL
1769,3,1,4.57,2.225,NULL,NULL,NULL,NULL,NULL,NULL
1769,4,1,8.967,3.105,NULL,NULL,NULL,NULL,NULL,NULL
1769,5,1,12.873,1.753,NULL,NULL,NULL,NULL,NULL,NULL
1769,6,1,15.142,1.727,NULL,NULL,NULL,NULL,NULL,NULL
1769,7,1,14.461,3.669,NULL,NULL,NULL,NULL,NULL,NULL
1769,8,1,13.494,1.604,NULL,NULL,NULL,NULL,NULL,NULL
1769,9,1,11.25,1.598,NULL,NULL,NULL,NULL,NULL,NULL
1769,10,1,5.297,2.395,NULL,NULL,NULL,NULL,NULL,NULL
1769,11,1,2.79,2.267,NULL,NULL,NULL,NULL,NULL,NULL
1769,12,1,-0.978,2.291,NULL,NULL,NULL,NULL,NULL,NULL
1770,1,1,1.974,4.275,NULL,NULL,NULL,NULL,NULL,NULL
1770,2,1,4.105,4.129,NULL,NULL,NULL,NULL,NULL,NULL
1770,3,1,1.612,2.276,NULL,NULL,NULL,NULL,NULL,NULL
1770,4,1,9.788,3.516,NULL,NULL,NULL,NULL,NULL,NULL
1770,5,1,9.996,1.27,NULL,NULL,NULL,NULL,NULL,NULL
1770,6,1,11.884,3.395,NULL,NULL,NULL,NULL,NULL,NULL
1770,7,1,11.621,2.658,NULL,NULL,NULL,NULL,NULL,NULL
1770,8,1,11.413,3.14,NULL,NULL,NULL,NULL,NULL,NULL
1770,9,1,10.724,1.51,NULL,NULL,NULL,NULL,NULL,NULL
1770,10,1,8.661,1.603,NULL,NULL,NULL,NULL,NULL,NULL
1770,11,1,5.791,2.726,NULL,NULL,NULL,NULL,NULL,NULL
1770,12,1,4.734,2.87,NULL,NULL,NULL,NULL,NULL,NULL
1771,1,1,5.101,4.287,NULL,NULL,NULL,NULL,NULL,NULL
1771,2,1,-0.274,3.218,NULL,NULL,NULL,NULL,NULL,NULL
1771,3,1,2.814,3.237,NULL,NULL,NULL,NULL,NULL,NULL
1771,4,1,5.717,2.647,NULL,NULL,NULL,NULL,NULL,NULL
1771,5,1,9.626,3.088,NULL,NULL,NULL,NULL,NULL,NULL
1771,6,1,14.104,1.403,NULL,NULL,NULL,NULL,NULL,NULL
1771,7,1,13.828,1.435,NULL,NULL,NULL,NULL,NULL,NULL
1771,8,1,14.204,2.246,NULL,NULL,NULL,NULL,NULL,NULL
1771,9,1,11.363,1.515,NULL,NULL,NULL,NULL,NULL,NULL
1771,10,1,10.317,1.721,NULL,NULL,NULL,NULL,NULL,NULL
1771,11,1,4.916,2.952,NULL,NULL,NULL,NULL,NULL,NULL
1771,12,1,2.522,3.506,NULL,NULL,NULL,NULL,NULL,NULL
1772,1,1,1.253,4.624,NULL,NULL,NULL,NULL,NULL,NULL
1772,2,1,1.478,5.963,NULL,NULL,NULL,NULL,NULL,NULL
1772,3,1,3.057,2.206,NULL,NULL,NULL,NULL,NULL,NULL
1772,4,1,8.858,1.524,NULL,NULL,NULL,NULL,NULL,NULL
1772,5,1,9.531,1.844,NULL,NULL,NULL,NULL,NULL,NULL
1772,6,1,12.647,2.429,NULL,NULL,NULL,NULL,NULL,NULL
1772,7,1,14.581,1.409,NULL,NULL,NULL,NULL,NULL,NULL
1772,8,1,14.098,1.641,NULL,NULL,NULL,NULL,NULL,NULL
1772,9,1,10.303,1.334,NULL,NULL,NULL,NULL,NULL,NULL
1772,10,1,9.268,1.386,NULL,NULL,NULL,NULL,NULL,NULL
1772,11,1,7.736,2.582,NULL,NULL,NULL,NULL,NULL,NULL
1772,12,1,5.512,2.624,NULL,NULL,NULL,NULL,NULL,NULL
1773,1,1,-0.437,2.933,NULL,NULL,NULL,NULL,NULL,NULL
1773,2,1,1.421,3.021,NULL,NULL,NULL,NULL,NULL,NULL
1773,3,1,4.422,2.083,NULL,NULL,NULL,NULL,NULL,NULL
1773,4,1,9.415,2.095,NULL,NULL,NULL,NULL,NULL,NULL
1773,5,1,12.764,2.537,NULL,NULL,NULL,NULL,NULL,NULL
1773,6,1,12.811,1.259,NULL,NULL,NULL,NULL,NULL,NULL
1773,7,1,14.484,1.085,NULL,NULL,NULL,NULL,NULL,NULL
1773,8,1,13.624,1.162,NULL,NULL,NULL,NULL,NULL,NULL
1773,9,1,12.488,1.676,NULL,NULL,NULL,NULL,NULL,NULL
1773,10,1,9.206,1.874,NULL,NULL,NULL,NULL,NULL,NULL
1773,11,1,3.369,4.817,NULL,NULL,NULL,NULL,NULL,NULL
1773,12,1,5.091,3.787,NULL,NULL,NULL,NULL,NULL,NULL
1774,1,1,-0.325,4.557,NULL,NULL,NULL,NULL,NULL,NULL
1774,2,1,4.914,5.124,NULL,NULL,NULL,NULL,NULL,NULL
1774,3,1,5.643,2.779,NULL,NULL,NULL,NULL,NULL,NULL
1774,4,1,10.153,3.849,NULL,NULL,NULL,NULL,NULL,NULL
1774,5,1,16.025,2.535,NULL,NULL,NULL,NULL,NULL,NULL
1774,6,1,15.371,3.891,NULL,NULL,NULL,NULL,NULL,NULL
1774,7,1,16.521,3.806,NULL,NULL,NULL,NULL,NULL,NULL
1774,8,1,14.099,1.947,NULL,NULL,NULL,NULL,NULL,NULL
1774,9,1,10.936,2.115,NULL,NULL,NULL,NULL,NULL,NULL
1774,10,1,8.59,2.625,NULL,NULL,NULL,NULL,NULL,NULL
1774,11,1,3.029,4.483,NULL,NULL,NULL,NULL,NULL,NULL
1774,12,1,0.31,3.271,NULL,NULL,NULL,NULL,NULL,NULL
1775,1,1,4.261,3.435,NULL,NULL,NULL,NULL,NULL,NULL
1775,2,1,6.427,3.139,NULL,NULL,NULL,NULL,NULL,NULL
1775,3,1,7.759,2.394,NULL,NULL,NULL,NULL,NULL,NULL
1775,4,1,7.952,1.538,NULL,NULL,NULL,NULL,NULL,NULL
1775,5,1,11.399,1.846,NULL,NULL,NULL,NULL,NULL,NULL
1775,6,1,12.314,2.805,NULL,NULL,NULL,NULL,NULL,NULL
1775,7,1,14.719,1.058,NULL,NULL,NULL,NULL,NULL,NULL
1775,8,1,14.435,1.093,NULL,NULL,NULL,NULL,NULL,NULL
1775,9,1,11.096,1.459,NULL,NULL,NULL,NULL,NULL,NULL
1775,10,1,10.372,2.116,NULL,NULL,NULL,NULL,NULL,NULL
1775,11,1,8.179,4.56,NULL,NULL,NULL,NULL,NULL,NULL
1775,12,1,1.284,2.404,NULL,NULL,NULL,NULL,NULL,NULL
1776,1,1,-0.806,4.467,NULL,NULL,NULL,NULL,NULL,NULL
1776,2,1,4.825,3.762,NULL,NULL,NULL,NULL,NULL,NULL
1776,3,1,4.652,2.388,NULL,NULL,NULL,NULL,NULL,NULL
1776,4,1,7.44,1.404,NULL,NULL,NULL,NULL,NULL,NULL
1776,5,1,10.475,5.237,NULL,NULL,NULL,NULL,NULL,NULL
1776,6,1,14.564,2.433,NULL,NULL,NULL,NULL,NULL,NULL
1776,7,1,14.108,1.303,NULL,NULL,NULL,NULL,NULL,NULL
1776,8,1,14.837,3.437,NULL,NULL,NULL,NULL,NULL,NULL
1776,9,1,10.602,2.065,NULL,NULL,NULL,NULL,NULL,NULL
1776,10,1,8.06,2.152,NULL,NULL,NULL,NULL,NULL,NULL
1776,11,1,5.87,2.788,NULL,NULL,NULL,NULL,NULL,NULL
1776,12,1,5.021,2.934,NULL,NULL,NULL,NULL,NULL,NULL
1777,1,1,6.021,3.11,NULL,NULL,NULL,NULL,NULL,NULL
1777,2,1,4.919,5.268,NULL,NULL,NULL,NULL,NULL,NULL
1777,3,1,5.572,2.307,NULL,NULL,NULL,NULL,NULL,NULL
1777,4,1,6.362,1.401,NULL,NULL,NULL,NULL,NULL,NULL
1777,5,1,11.389,2.117,NULL,NULL,NULL,NULL,NULL,NULL
1777,6,1,12.323,1.607,NULL,NULL,NULL,NULL,NULL,NULL
1777,7,1,12.743,1.078,NULL,NULL,NULL,NULL,NULL,NULL
1777,8,1,12.815,1.269,NULL,NULL,NULL,NULL,NULL,NULL
1777,9,1,11.379,2.692,NULL,NULL,NULL,NULL,NULL,NULL
1777,10,1,6.956,3.464,NULL,NULL,NULL,NULL,NULL,NULL
1777,11,1,5.529,2.276,NULL,NULL,NULL,NULL,NULL,NULL
1777,12,1,3.067,2.725,NULL,NULL,NULL,NULL,NULL,NULL
1778,1,1,2.521,3.544,NULL,NULL,NULL,NULL,NULL,NULL
1778,2,1,6.094,3.569,NULL,NULL,NULL,NULL,NULL,NULL
1778,3,1,4.604,4.151,NULL,NULL,NULL,NULL,NULL,NULL
1778,4,1,10.984,1.69,NULL,NULL,NULL,NULL,NULL,NULL
1778,5,1,11.286,1.673,NULL,NULL,NULL,NULL,NULL,NULL
1778,6,1,11.731,3.975,NULL,NULL,NULL,NULL,NULL,NULL
1778,7,1,15.037,2.216,NULL,NULL,NULL,NULL,NULL,NULL
1778,8,1,12.869,2.658,NULL,NULL,NULL,NULL,NULL,NULL
1778,9,1,13.377,2.35,NULL,NULL,NULL,NULL,NULL,NULL
1778,10,1,8.049,3.608,NULL,NULL,NULL,NULL,NULL,NULL
1778,11,1,3.854,2.675,NULL,NULL,NULL,NULL,NULL,NULL
1778,12,1,2.101,2.361,NULL,NULL,NULL,NULL,NULL,NULL
1779,1,1,1.47,2.802,NULL,NULL,NULL,NULL,NULL,NULL
1779,2,1,5.14,4.959,NULL,NULL,NULL,NULL,NULL,NULL
1779,3,1,6.967,3.017,NULL,NULL,NULL,NULL,NULL,NULL
1779,4,1,9.965,3.086,NULL,NULL,NULL,NULL,NULL,NULL
